Date,Torah Reading,History,Prophets,Psalms,Proverbs,Gospel,Epistles,Revelation
April 17,Leviticus 17,1 Kings 3,Jeremiah 41,Psalm 107,Proverbs 17,Matthew 18,1 Timothy 6,Revelation 19
April 18,Leviticus 18,1 Kings 4,Jeremiah 42,Psalm 108,Proverbs 18,Matthew 19,2 Timothy 1,Revelation 20
April 19,Leviticus 19,1 Kings 5,Jeremiah 43,Psalm 109,Proverbs 19,Matthew 20,2 Timothy 2,Revelation 21
April 20,Leviticus 20,1 Kings 6,Jeremiah 44,Psalm 110,Proverbs 20,Matthew 21,2 Timothy 3,Revelation 22
April 21,Leviticus 21,1 Kings 7,Jeremiah 45,Psalm 111,Proverbs 21,Matthew 22,2 Timothy 4,Revelation 1
April 22,Leviticus 22,1 Kings 8,Jeremiah 46,Psalm 112,Proverbs 22,Matthew 23,Titus 1,Revelation 2
April 23,Leviticus 23,1 Kings 9,Jeremiah 47,Psalm 113,Proverbs 23,Matthew 24,Titus 2,Revelation 3
April 24,Leviticus 24,1 Kings 10,Jeremiah 48,Psalm 114,Proverbs 24,Matthew 25,Titus 3,Revelation 4
April 25,Leviticus 25,1 Kings 11,Jeremiah 49,Psalm 115,Proverbs 25,Matthew 26,Philemon 1,Revelation 5
April 26,Leviticus 26,1 Kings 12,Jeremiah 50,Psalm 116,Proverbs 26,Matthew 27,Hebrews 1,Revelation 6
April 27,Leviticus 27,1 Kings 13,Jeremiah 51,Psalm 117,Proverbs 27,Matthew 28,Hebrews 2,Revelation 7
April 28,Numbers 1,1 Kings 14,Jeremiah 52,Psalm 118,Proverbs 28,Mark 1,Hebrews 3,Revelation 8
April 29,Numbers 2,1 Kings 15,Lamentations 1,Psalm 119:1-44,Proverbs 29,Mark 2,Hebrews 4,Revelation 9
April 30,Numbers 3,1 Kings 16,Lamentations 2,Psalm 119:45-88,Proverbs 30,Mark 3,Hebrews 5,Revelation 10
May 1,Numbers 4,1 Kings 17,Lamentations 3,Psalm 119:89-132,Proverbs 1,Mark 4,Hebrews 6,Revelation 11
May 2,Numbers 5,1 Kings 18,Lamentations 4,Psalm 119:133-176,Proverbs 2,Mark 5,Hebrews 7,Revelation 12
May 3,Numbers 6,1 Kings 19,Lamentations 5,Psalm 120,Proverbs 3,Mark 6,Hebrews 8,Revelation 13
May 4,Numbers 7,1 Kings 20,Ezekiel 1,Psalm 121,Proverbs 4,Mark 7,Hebrews 9,Revelation 14
May 5,Numbers 8,1 Kings 21,Ezekiel 2,Psalm 122,Proverbs 5,Mark 8,Hebrews 10,Revelation 15
May 6,Numbers 9,1 Kings 22,Ezekiel 3,Psalm 123,Proverbs 6,Mark 9,Hebrews 11,Revelation 16
May 7,Numbers 10,2 Kings 1,Ezekiel 4,Psalm 124,Proverbs 7,Mark 10,Hebrews 12,Revelation 17
May 8,Numbers 11,2 Kings 2,Ezekiel 5,Psalm 125,Proverbs 8,Mark 11,Hebrews 13,Revelation 18
